,,,,MARKETING NAME:,Polished,,Honed,,Satin,Silk,Organic Matte,Vintage,Grained,Patinated,,
,Reference Name,Completely Random,Photos,Notes,Polished,Unglazed Polished,Honed,Structured Honed,Satin,Structured matt,Structured matt,Structured matt,Structured matt,Structured Brushed,,
,Arabescato Corchia,Arabescato Corchia Block 59,,Random 8 faces,x,,x,,,,,,,,,
,Arabescato Vagli,Arabescato Vagli Block 34,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Statuario,Statuario Block 16,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Statuario,Statuario Block 17,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Bianco Gioia,Bianco Gioia Block 19,,Random 8 faces,x,,x,,,,,,,,,
,Montania Grey,Montagna Grey Block 11,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Calacatta Corchia,Calacatta Corchia Block 43,,Random 8 faces,x,,x,,,,,,,,,
,Calacatta Carrera,Calacatta Carrara Block 23,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Ariel Bianco,Ariel Bianco Block 33,,Random 8 faces,x,,x,,,,,,,,,
,Panda,Panda Block 22,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Calacatta Paonazzo,Calacatta Oro Block 12,,Random 8 faces,x,,x,,,,,,,,,
,Calacatta Cremo,Calacatta Cremo Block 31,,Random 8 faces,x,,x,,,,,,,,,
,"Crystal - White Macaubas - Color adjust to white background, grey or grey/beige veins?",Bianco Stratura Block 18,,Random 6 faces,x,,x,,,,,,,,,
,Calacatta Nero Borghini GRA-0001 GRA-0001-2,Colorado Lincoln Block 81,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Fusion White,Fusion White Block 27,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Gemma Bronze,Gemma Bronze Block 45,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Calacatta Picasso,Calacatta Picasso Block 32,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Calacatta Viola,Calacatta Viola Block 41,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Calacatta Borghini,Calacatta Borghini Block 48,,Random 8 faces,x,,x,,,,,,,,,
,WHITE MARBLES,TOTAL COLORS,19,,19,,19,,,,,,,,38,
,Cristallo,Cristallo Block 13,,Bookmatch 2 faces,x,,x,,,,,,,,,
